MANDT,KURST,FCURR,TCURR,GDATU,UKURS,FFACT,TFACT
800,B,NOK,EUR,79858770,9.15120-,1,1
800,B,NOK,EUR,79858769,9.01700-,1,1
800,G,NOK,EUR,79858777,9.12500-,1,1
800,G,NOK,EUR,79858775,9.14070-,1,1
800,G,NOK,EUR,79858774,9.09500-,1,1
800,G,NOK,EUR,79858770,9.14320-,1,1
800,G,NOK,EUR,79858769,9.01550-,1,1
800,B,HKD,EUR,79858780,0.78510-,1,1
800,B,HKD,EUR,79858777,0.78550-,1,1
800,B,HKD,EUR,79858775,0.78510-,1,1
800,B,HKD,EUR,79858774,0.78520-,1,1
800,B,HKD,EUR,79858770,0.78420-,1,1
800,G,HKD,EUR,79858780,0.78490-,1,1
800,G,HKD,EUR,79858777,0.78500-,1,1
800,G,HKD,EUR,79858775,0.78450-,1,1
800,G,HKD,EUR,79858774,0.78500-,1,1
800,G,HKD,EUR,79858770,0.78410-,1,1
800,G,HKD,EUR,79858769,0.78310-,1,1
800,B,AED,EUR,79858780,4.50580-,1,1
800,B,AED,EUR,79858777,4.50320-,1,1
800,B,AED,EUR,79858775,4.48120-,1,1
800,B,AED,EUR,79858774,4.49590-,1,1
800,B,AED,EUR,79858770,4.47820-,1,1
800,B,AED,EUR,79858769,4.46910-,1,1
800,G,AED,EUR,79858780,4.50490-,1,1
800,G,AED,EUR,79858777,4.50270-,1,1
800,G,AED,EUR,79858775,4.48020-,1,1
800,G,AED,EUR,79858774,4.49450-,1,1
800,G,AED,EUR,79858770,4.47700-,1,1
800,G,AED,EUR,79858769,4.46820-,1,1
800,B,CZK,EUR,79858780,27.62500-,1,1
800,B,CZK,EUR,79858777,27.62600-,1,1
800,B,CZK,EUR,79858775,27.77200-,1,1
800,B,CZK,EUR,79858774,27.75500-,1,1
800,B,CZK,EUR,79858770,27.72700-,1,1
800,B,CZK,EUR,79858769,27.73700-,1,1
800,G,CZK,EUR,79858780,27.61700-,1,1
800,G,CZK,EUR,79858777,27.60100-,1,1
800,G,CZK,EUR,79858775,27.74200-,1,1
800,G,CZK,EUR,79858774,27.72500-,1,1
800,G,CZK,EUR,79858770,27.69700-,1,1
800,G,CZK,EUR,79858769,27.70700-,1,1
800,G,DKK,EUR,79858780,7.43970-,1,1
800,B,DKK,EUR,79858780,7.44000-,1,1
800,G,DKK,EUR,79858777,7.43940-,1,1
800,B,DKK,EUR,79858777,7.43970-,1,1
800,G,DKK,EUR,79858775,7.43880-,1,1
800,B,DKK,EUR,79858775,7.43910-,1,1
800,G,DKK,EUR,79858774,7.43960-,1,1
800,B,DKK,EUR,79858774,7.44000-,1,1
800,G,DKK,EUR,79858770,7.43990-,1,1
800,B,DKK,EUR,79858770,7.44030-,1,1
800,G,DKK,EUR,79858769,7.44360-,1,1
800,B,MXN,EUR,79858780,17.88120-,1,1
800,B,MXN,EUR,79858777,17.95520-,1,1
800,B,MXN,EUR,79858775,17.97660-,1,1
800,B,MXN,EUR,79858774,18.01180-,1,1
800,B,MXN,EUR,79858770,17.94310-,1,1
800,B,MXN,EUR,79858769,17.97620-,1,1
800,G,MXN,EUR,79858780,17.85580-,1,1
800,G,MXN,EUR,79858777,17.92140-,1,1
800,G,MXN,EUR,79858775,17.94880-,1,1
800,G,MXN,EUR,79858774,17.98390-,1,1
800,G,MXN,EUR,79858770,17.91750-,1,1
800,G,MXN,EUR,79858769,17.95060-,1,1
800,B,USD,EUR,79858788,1.24650-,1,1
800,B,USD,EUR,79858787,1.24560-,1,1
800,B,USD,EUR,79858784,1.24270-,1,1
800,B,USD,EUR,79858783,1.25440-,1,1
800,B,USD,EUR,79858782,1.24610-,1,1
800,B,USD,EUR,79858781,1.23160-,1,1
800,G,USD,EUR,79858787,1.24550-,1,1
800,G,USD,EUR,79858784,1.24260-,1,1
800,G,USD,EUR,79858783,1.25430-,1,1
800,G,USD,EUR,79858782,1.24600-,1,1
800,G,USD,EUR,79858781,1.23120-,1,1
800,B,JPY,EUR,79858787,*7.35000-,1,1
800,B,JPY,EUR,79858784,*7.62000-,1,1
800,B,JPY,EUR,79858783,*5.22000-,1,1
800,B,JPY,EUR,79858782,*6.01000-,1,1
800,B,JPY,EUR,79858781,*6.02000-,1,1
800,B,JPY,EUR,79858780,*6.38000-,1,1
800,G,JPY,EUR,79858788,*7.51000-,1,1
800,G,JPY,EUR,79858787,*7.32000-,1,1
800,G,JPY,EUR,79858784,*7.59000-,1,1
800,G,JPY,EUR,79858783,*5.17000-,1,1
800,G,JPY,EUR,79858782,*5.96000-,1,1
800,G,JPY,EUR,79858781,*6.00000-,1,1
800,B,GBP,EUR,79858787,0.79250-,1,1
800,B,GBP,EUR,79858784,0.79340-,1,1
800,B,GBP,EUR,79858783,0.79740-,1,1
800,B,GBP,EUR,79858782,0.79220-,1,1
800,B,GBP,EUR,79858781,0.78670-,1,1
800,G,GBP,EUR,79858788,0.79450-,1,1
800,G,GBP,EUR,79858787,0.79230-,1,1
800,G,GBP,EUR,79858784,0.79320-,1,1
800,G,GBP,EUR,79858783,0.79690-,1,1
800,G,GBP,EUR,79858782,0.79210-,1,1
800,G,GBP,EUR,79858781,0.78650-,1,1
800,B,CHF,EUR,79858788,1.20150-,1,1
800,B,CHF,EUR,79858787,1.20100-,1,1
800,B,CHF,EUR,79858784,1.20120-,1,1
800,B,CHF,EUR,79858783,1.20120-,1,1
800,B,CHF,EUR,79858782,1.20100-,1,1
800,B,CHF,EUR,79858781,1.20430-,1,1
800,G,CHF,EUR,79858788,1.20120-,1,1
800,G,CHF,EUR,79858787,1.20090-,1,1
800,G,CHF,EUR,79858784,1.20100-,1,1
800,G,CHF,EUR,79858783,1.20050-,1,1
800,G,CHF,EUR,79858782,1.20080-,1,1
800,G,CHF,EUR,79858781,1.20410-,1,1
800,B,ZAR,EUR,79858787,14.48630-,1,1
800,B,ZAR,EUR,79858784,14.43670-,1,1
800,B,ZAR,EUR,79858783,14.72340-,1,1
800,B,ZAR,EUR,79858782,14.61690-,1,1
800,B,ZAR,EUR,79858781,14.23510-,1,1
800,B,ZAR,EUR,79858780,14.26270-,1,1
800,G,ZAR,EUR,79858787,14.47630-,1,1
800,G,ZAR,EUR,79858784,14.43620-,1,1
